label,review
0,菜品質量好，味道好，就是百度的問題，總是用運力原因來解釋，我也不懂這是什麼原因，晚了三個小時呵呵厲害吧！反正訂了就退不了，只能乾等……
0,分量還可以……就是有點沒特色……下回不吃啦
0,沒什麼味道，送來的晚涼了
0,送餐送錯，還狡辯不給補償，送餐時間3個小時，百度送餐員更是素質卑劣，額外還要加收17元的外送費。百度客服也沒用，也沒有解決！
0,完全不值得信任，出爾反而
0,最差餐廳，沒有之一
0,感覺不太好吃，價格貴。但是百度外賣的送餐人員態度很好！
0,沒發票，亂收費，訂單沒到就被完成了
0,量很大，但是味道真的一般。等了一個多小時才送到，達到了超時賠付的時間，感覺百度超時賠付就是個擺設
0,頭一天看同事點的三份菜就一大盆，今天點了四份菜才一小碗……差太大吧，辣椒花椒太多，非常油膩……
0,點了200多塊吧，整份魷魚卷只有3個，土豆片沒見到，絲瓜沒見到，總之整份比平時半份還少，不建議一次點很多，三種菜品和十幾種菜品都是同規格的打包盒，不會再點了。
0,"特別寫了醬油炒飯不加蛋了,結果還是加蛋了"
0,每次叮囑別放姜，回回都不當個事
0,"飯菜量很少,價位偏高,關鍵是不能及時開發票,讓人很無語"
0,明明點的是土豆紅燒肉蓋飯送來的卻是土豆牛肉蓋飯，是店家太忙還是認不清字啊！兩個蓋飯也不是一個價格多收了我4元錢。
0,不好吃，不像廚師做的，連家常菜不如
0,.炒菜都不放鹽的？咖喱炒飯沒吃就扔了！太失望，差
0,挺不錯的、不過有點辣
0,完全送錯，沒有一個菜是一樣的，我也真是服了。送餐員在還沒有送到的情況下就確認完成，這都是怎麼找的人啊
0,今天送的很快，快遞員態度好，味道很好
0,送餐太慢，每次都超時，商家都在催促
0,肉臭了，態度還十分惡劣，必須差評
0,肉臭了，態度還十分惡劣，不處理，不要再定這家了
0,價格太高，菜量太少
0,"1.菜量比以往少太多了！！！,2.發票少開十幾塊錢。,真差勁，以後不定這家了！"
0,餐廳不給送餐，付完款了告訴沒看見，再說不認識地址，明明過馬路就到，協商後還是不給送，服務差，最後是百度物流送的餐
0,等了2個小時，送餐員找不到餐廳，菜等得都涼了。希望改進。
0,差一個菜沒送
0,點了兩份米飯放在兩個餐盒裏，但都是裝了不到一半，我點的鍋仔魚籽豆腐，不是蓋飯！！菜量比之前的少太多了，不知道怎麼是換廚子了還是換老闆了，比第一次點的差太多了
0,送餐快點就更好了
0,等了一個多小時，飲料蓋子都破了
0,非常慢，其中催單也沒人理會
0,"原味奶茶沒加椰果,而且上面的封模破了"
0,點的岩鹽芝士可可和奧利奧奶茶，送來的兩個全錯了！
0,"沒給吸管,怎麼喝奶茶"
0,爲什麼不給管兒？？？？撕開紙喝？？？？
0,包裝太差。全灑了。送到只剩四分之一不到。
0,我要投訴。奶茶裏有蟲子
0,太差了，曲奇奶茶味道很怪，像粉泡的，大滿貫根本沒有幾粒東西，珍珠奶茶也不好喝。
0,一杯送來都漏了
0,第一次送來，龍利魚送錯了，點的蔥香的，送成酸湯的了，給飯店打電話，那女的沒等說完就給我掛了，再打過去，說做完讓我去取，她沒事兒吧，這種人趕緊開了吧，留着是禍害
0,之前都兩盒，這次就給裝一盒。還不多，差評。快遞小哥辛苦
0,噁心沒rou
0,"點了寬粉,但是沒放,點的飯裏面沒有米飯,另外加了六塊"
0,菜品很一般哦，只能湊合
0,味道非常一般，，，，
0,你的肉末酸豆角里面怎麼沒有一丁點兒肉？？
0,餐盒好看，菜量也多，但是吃完後下午反胃，應該不會再訂了
0,嚴重懷疑食物的質量！居然有菸頭
0,配送竟然沒經過我同意讓別人代收了，我不知道，導致我收到飯比預定時間晚了一個多小時。飯的味道還可以，只是涼了
0,"糟糕,繼續努力吧"
0,不好吃。有點甜。
0,真沒有品味多的好吃。
0,我要的是排骨飯，結果送的是雞肉飯
0,下雨天，配送慢，可以理解，商家爲什麼不接電話！
0,送餐的沒手機，米飯全是黑斑，也不知道什麼東西。雞翅炸的跟碳是的，只剩下黃燜雞可以吃了，以後再也不會點單，更逗的點的百度外賣送來的卻是餓了麼，拼單子嗎。暈
0,快遞很不錯。飯沒啥味道！！太淡了！！
0,說好的是雞蛋，結果送過來的是香腸！而且都是冷的！！！嚴重差評，也就1公里不到的距離，送了那麼久。。。
0,第二次訂這家的飯，但明顯和上次不一樣。上次訂的很好吃，但這次像剩飯，包裝上的地址也不對。
0,"店裏送錯了餐,給店裏打電話,話還沒有說完,對方就掛斷了,特別沒有禮貌,實在是差"
0,"煎蛋，香腸還行。肥牛太老！！菜花難吃！,最sb的可樂是熱的，一打開噴的到處都是！,鹽酥雞上面的面太厚太硬！！"
0,太難吃了。大米不好蒸的也不好。雞都是碎的。
0,送餐太晚了，餓死！
0,飯涼了，咋吃啊？還是本來就是剩飯？
0,滿減竟然是頁面有，付款時沒有。肥牛還不錯，黃燜雞真差勁
