label,review
0,炒合菜就是炒豆皮韭菜加豆芽，沒粉絲什麼事兒啊
0,"青椒豬肉餡兒:,豬肉不新鮮了，有味兒，差評"
0,送過來遲了快一個小時，涼透了，而且都露湯了，弄的特別髒
0,快遞員不認識路，還不聽指導，還讓我們下樓拿，一共3層樓，這樣還收外送費，
0,我要的二米粥，但是送來的是南瓜粥，而且涼的都冰手，經常在你家訂餐，沒想到這次這樣？你們不知道粥涼了？餃子是很熱的，希望賣家聯繫我，完善售後
0,"我只能給零分,因爲不能給負分,不然就是負億萬分,自己做錯不願意承擔就指責別人,送錯餃子不知自己反省還責怪用戶,味道再好這種服務還能怎麼樣,懶得和你多說,就這一次,絕不再來,百度外賣,九品金餃,永不再用"
0,"十一點訂的餐送五十分鐘，領了餐之後五分鐘不到的路走了二十分鐘……真是拉慢騎士水平，不好意思不能給好評了。,第一次訂，也是最後一次。本來想吃煎餃的，這煎得是個什麼玩意，油都捨不得放，就在鍋裏面過了一遍就拿出來了。這樣的一餐花了三十多，我也是腦子發熱。"
0,點的三鮮，西芹，韭菜，送過來竟然全是茴香的！！！！！！！
0,"沒有給餐具！餐巾紙,讓人怎麼吃飯。。。"
0,"餃子不難吃，就是有點少,拉皮一般"
0,"就住對面實在累了叫了個外賣,67分鐘送到,餓過勁了,爬着去爬着回也不要一個小時"
0,"根本就沒吃,一肚子氣,送的醋灑的哪兒都是,要是不能保證醋不灑就乾脆別送,打包袋裏全是醋,一股酸味,粥都他媽有醋味,還怎麼吃？打包時候上點心,配送沒毛病,外送師傅人不錯"
0,餃子太少了
0,這是百度外賣比較不好的體驗，韭菜雞蛋餃子韭菜都老了，不好吃
0,三鮮餃子裏不是蝦仁嗎？怎麼放那麼多蝦米皮？餃子皮很厚，餃子餡就是一團漿糊，不知道是啥，很難吃。娃娃菜太油了。
0,太慢了！差三分鐘就半價了，剛送到
0,一份餃子12個，有三個裏面帶蟑螂，噁心死了，衛生是得多差啊
0,量很少。送餐二逼
0,居然沒有任何餐具！而且包裝很爛，皮蛋豆腐都爛得哪都是，實在吃不下去了！
0,差評！無力吐槽！
0,配送太慢了！沒拿到餐就在樓下確認訂單了
0,點了1份九品三鮮，2份茴香豬肉，結果送了三份茴香豬肉過來！！餐具也只提供了1份！！裏面的調料包，三份餃子，只有兩份調料包，醋包還全灑出來了！！承諾12點15分前送到，結果還是超時了！！
0,經常定，今天不一樣了，還減量啦！定兩份給一雙筷子，以前可不是啊……
0,居然裏邊有空餃子！裏邊沒餡！配送的很快。
0,"挺好,肉多"
0,"太少了。。。根本沒吃飽,20元才12個餃子。。。"
0,"這店垃圾。一個多小時才送。,而且量小。,誰吃誰上當"
0,說好的30多分鐘就能送到呢？！是不是買的少就懶得給你做啊
0,韭菜沒熟就送來了啊
0,實際支付103，發票開的89，這是爲啥
0,非常不好吃，韭菜的不熟，西葫蘆的也怪壞的，而且基本看不到雞蛋
0,不給筷子用手吃啊？？？
0,鮁魚餃子太腥了，不好吃
0,"3個小時送到的,呵呵,送餐員臉皮夠厚"
0,今天有點慢哦
0,"飯已經涼了,而且晚送了半個小時"
0,餃子味道挺好。就是從下單到拿到餃子是一個小時二十分鐘。餓的胃到痛了。餃子也不熱了……
0,餃子送到都涼了
0,我要了三分餃子，一份葷香雞蛋，一份葷香豬肉的結果都給我拿成葷香豬肉的了.還沒有給我拿醋.還就給我拿了兩雙筷子.那個人都手抓着吃的
0,在線支付之後，送餐還收費，家裏老人不明就裏就付了，差勁！
0,送餐不送筷子也是醉了讓人怎麼吃啊!!!!!有負分嗎？
0,超級差評！備註了送醋結果一份都沒有，投訴也沒人回覆。
0,送餐越來越慢，餃子越來越涼，肉裏面肥肉，肉頭越來越多，感覺肉不咋地，這是我最後一次訂了。
0,要的兩個三鮮，來了個茴香和西葫蘆，能說什麼呢
0,送來時菜已涼，12元的一份青斑苦瓜，容量如外面早餐送的小菜，少的可憐
0,涼了，不怎麼好吃
0,配送速度超級慢
0,鮁魚陷有點臭，送菜速度如蝸牛…
0,還是不錯的
0,最差的一次外賣體驗，第一個訂單被取消，第二個訂單12：40下單，2點才送到。餃子已經冰冰涼。
